,client_id,activation_id,start_time,end_time,diff
75,81.0,c9ece7185ae348ccace7185ae348cc97,1600856754.180487,1600856764.7723079,10.59182095527649
76,2.0,ee981315ad1c40ae981315ad1c30aef9,1600856754.282872,1600856761.522144,7.239272117614746
77,38.0,4d620703aa72499ea20703aa72099eea,1600856754.390829,1600856768.7787662,14.387937068939209
78,7.0,4794f9745c5b4e1194f9745c5b7e1102,1600856754.494282,1600856761.569461,7.075179100036621
79,94.0,8db0f76575a24fcbb0f76575a2dfcb36,1600856754.601225,1600856767.093835,12.492610216140747
80,3.0,5fa098506caf4f82a098506caf0f8286,1600856754.704799,1600856761.630953,6.926154136657715
81,64.0,e42218bcd59d48a6a218bcd59d48a63a,1600856754.802368,1600856764.8564951,10.054127216339111
82,95.0,236fc70b696040e9afc70b696000e901,1600856754.904748,1600856773.7389388,18.834190845489502
83,43.0,fc7d3e10b8df4dcebd3e10b8dfbdce50,1600856755.032662,1600856764.902834,9.870172023773193
84,51.0,2068b06595a34720a8b06595a3e720d1,1600856755.135092,1600856767.137669,12.002577066421509
85,96.0,52e1ea5111d743d3a1ea5111d793d32b,1600856755.253191,1600856764.9512599,9.698068857192993
86,62.0,abf821d358024092b821d35802509262,1600856755.35465,1600856784.364369,29.009718894958496
87,58.0,162457e35fd54895a457e35fd5b895a6,1600856755.4529622,1600856767.182251,11.729288816452026
88,45.0,26da2e2c71234d069a2e2c7123ed06f1,1600856755.55717,1600856768.8621702,13.305000305175781
89,91.0,a1266cbe22eb40c9a66cbe22ebc0c917,1600856755.6654458,1600856767.2259378,11.560492038726807
90,52.0,a4193315f6c044b7993315f6c0f4b756,1600856755.7707462,1600856770.2717812,14.50103497505188
91,33.0,632bf6b350b84451abf6b350b82451e9,1600856755.8720121,1600856767.269414,11.397401809692383
92,9.0,451de16a027748539de16a02774853f7,1600856755.9800901,1600856762.140223,6.160132884979248
93,24.0,e6dbaded71064e639baded71063e639e,1600856756.088786,1600856775.973372,19.884586095809937
94,69.0,f2804ed3878046d4804ed3878076d455,1600856756.195814,1600856768.94879,12.752976179122925
95,12.0,50d563ef0b7a4f419563ef0b7a5f41ca,1600856756.3018858,1600856767.362613,11.0607271194458
96,5.0,6018d92535ed42e498d92535edc2e4eb,1600856756.403254,1600856762.2782102,5.874956130981445
97,6.0,c72e4e76ed4949c6ae4e76ed4999c618,1600856756.5046651,1600856765.3317041,8.827039003372192
98,31.0,205c360e19ef400b9c360e19efb00b24,1600856756.603143,1600856770.318828,13.71568512916565
99,17.0,9c3e114250fe4b33be114250fe2b33ad,1600856757.738252,1600856771.54719,13.808938026428223
